,model_name,word,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70,top_71,top_72,top_73,top_74,top_75,top_76,top_77,top_78,top_79,top_80,top_81,top_82,top_83,top_84,top_85,top_86,top_87,top_88,top_89,top_90,top_91,top_92,top_93,top_94,top_95,top_96,top_97,top_98,top_99,top_100
0,20,been,exotic,saimei,glittering,lapses,demographics,wwii,chimes,mahmud,praia,liberating,isao,bayonets,cascade,maslow,quadratic,morally,deprecating,broth,diesel,kilometres,distract,obrzeg,subcultures,fails,arendt,adherents,capua,amc,breached,devry,engages,foodstuffs,repulse,element,roosevelt,panhandle,rowan,conscription,charcot,landscape,wishful,normality,grotto,pickens,effluents,davao,alexei,sloti,hoe,langley,itching,leeds,repair,interception,joins,interpretive,gallant,vitellius,clear,battering,carnap,lookout,neoplatonism,pseudonym,caviar,republics,nukem,westinghouse,rockall,charon,dignity,sulu,nonconfirmative,infinitely,lyrically,taj,monrovia,improvisation,venice,organize,internationale,argus,modernizing,ramzi,mansions,thorndike,evening,colon,eloquence,surname,studio,piazza,obe,cpu,euthanasia,reciprocal,abolitionist,overthrown,fft,wastewater
1,20,time,engravers,gentle,pseudocode,shaft,ohlin,revolutionized,traversed,milking,never,mexicana,flamingo,cooperstown,regardless,academia,magadha,ime,counterparts,becomes,coronae,fichte,minyan,laval,menezes,stapleton,resident,authorizes,iic,commercials,statist,domitian,nightlife,shinogi,badge,nite,mccarthyism,netherland,olympic,vern,marion,coyotes,eval,soga,splinter,laypeople,ujjain,quaternary,enabled,stow,pda,oeis,deferred,ascetics,wheat,amazonas,ambient,puns,household,europ,electrophilic,continuously,aldehydes,vernet,shaped,uncover,outcrops,lillee,asymmetrical,descendants,warez,geocache,gallen,unspecific,beaton,holbein,ecology,dispersion,drainage,semen,guildhall,raf,recognition,logs,fergus,diminutive,antipope,fenton,evenly,doughnut,wha,renn,alcoholism,harlan,unital,gein,viewpoints,supergroup,zebu,copyrights,nationalized,reneged
2,20,over,assassinate,launch,hoare,galilee,rewarded,rube,trier,empirically,manoeuvre,eur,laboratories,patches,appended,katakana,proficient,pact,cleese,seclusion,wikitravel,custard,ethics,bunch,vantaa,tasso,erick,integrate,retain,dowland,overloading,mejid,pentecostal,geometries,upstairs,latinos,informative,reachable,constructing,jsp,minotaurs,roasting,precious,mistresses,reuse,compagnie,prussia,lovin,foucault,quaestor,foregone,efficiency,distribution,vanilla,pfc,raimi,tempus,rigging,skiego,mckernan,surfing,gto,mannered,superlatives,undermined,halloween,sublime,gsm,dismissive,tachycardia,portage,gemstone,censor,dresser,scalability,invert,machen,kamehameha,luther,fouls,org,gladiators,bidirectional,preferentially,heir,unrequited,laurens,please,donahue,conjecture,lassen,straining,nationale,eudoxia,database,logs,rod,divergent,goldeneye,nasrallah,spooner,fossils
3,20,not,innocence,nominate,direct,uncertainties,muons,boomerang,loot,cistern,kings,huckleberry,sweetener,tahiti,hydrosphere,keyser,prescribe,graphical,xc,christiern,armed,wow,manatee,hadrian,bosco,cobb,cromwell,opengl,roleplay,garb,steffi,traffickers,mutton,prescriptive,iron,quaternion,sandpaper,confidently,akc,gbu,germinate,southerner,nayla,metz,pitot,chalmers,conjunction,mishnaic,rubble,monograph,timorese,incapacity,milo,nai,polluted,blanco,yell,simcity,cursive,clauses,hwv,capsules,jurisdictions,selectively,tethys,photos,arabic,amongst,hellenistic,propel,mcenroe,ethnographers,rerum,thoroughbred,slovaks,rockville,tasman,transoxiana,srivijaya,maclennan,objectivism,lexikon,gerard,warbird,hermetical,autostrada,kilkenny,indra,protons,timescale,gimps,slipper,competitions,semper,subduction,exposing,channing,food,subfields,roundel,geq,tasting
4,20,three,maccabean,navis,hexagrams,dispel,scullin,intuitionist,photosynthesis,feeder,navigation,askari,interdisciplinarity,request,minivan,xerox,maltose,terribly,canaries,sonnet,fushimi,militare,margins,tinted,kamen,diffusion,narrower,stood,punctured,lastnode,anger,baron,guilt,lucie,refracted,quisling,hierarchy,sports,refugees,basing,manic,flint,hani,assemblages,colonialism,emirs,checked,valued,failings,sparsely,bangla,hoax,sandstone,servicing,wikisource,mitchell,eisenstein,sizing,actinidia,salinger,afp,freising,daimlerchrysler,craft,unwitting,aetius,kant,duct,boii,hessian,signet,commemorative,extermination,bushy,gazette,jadwiga,specification,lerner,sweep,smallville,catastrophe,etruria,urartu,investigated,mtu,inserts,cycladic,petitioning,ramsay,heated,haikai,handmade,unused,sprouted,residential,paleozoic,dialectics,afforded,housemate,gnome,shrubs,thermometers
5,20,between,heraclea,experimented,mamre,karl,aldrich,beauvoir,lucasfilm,viewership,alludes,gu,cancels,rubbish,thinks,unfree,ionization,luis,reissue,watched,timescales,youngest,restrain,galton,movie,sloane,cel,waldseem,priests,shapiro,properties,year,nearer,whenever,ascend,mathias,sandro,audi,contraceptive,path,bounces,mfm,rattle,diplomas,glassy,resistor,eleusinian,suspensions,purchasers,bryozoans,meandering,gilded,adopt,partnership,shetland,impoverished,mixtures,watford,tetrahedra,transcend,lfflin,furigana,prohibiting,sandwich,voicing,behaves,richthofen,circled,bulldogs,microprogramming,watkins,jsf,encode,mescaline,posthumous,australes,infection,bathtub,asturias,transformer,antoine,rg,misleadingly,dolphin,fink,curtains,beretta,kista,forges,transcending,anaesthetics,hog,auc,recoverable,bofors,dominicans,jg,takeover,restrained,dismantled,anomalies,dead
6,20,from,rem,ducks,palpatine,smithers,ever,unification,badlands,democracy,viet,vices,isotope,impoverished,garis,kinky,aris,ats,awaits,atypical,county,silverman,gandy,verbs,aground,amerigo,kilowatt,chromatography,martialed,melissa,bassline,instrument,blurring,niccolo,britten,luisa,downey,hogshead,dictation,portillo,anointing,pullman,gtp,lactam,basica,ayrton,puppetry,uplift,bulldog,neither,immortalised,nonmetals,kasparov,prussia,anabaptism,squeeze,bianca,mckinney,mistake,synchronize,rachmaninoff,dalglish,orientalist,spawning,stretched,drowsiness,compiles,odense,tires,critique,proconsular,addons,ramon,thunderstorm,pancho,lahoud,uncontroversial,petitions,golf,cochrane,valencia,exceedingly,bukovina,xxix,ziggy,plea,binghamton,sled,reverence,meetings,coco,smitten,cathal,rightmost,electoral,lessen,valid,ascribe,charterers,interfering,uncovering,define
7,20,eight,cornerback,agonists,grams,timecode,margrethe,tem,stockholders,vittoria,kr,indians,kazakhstan,chimera,seawater,subterranean,gnome,familia,practices,buyout,managua,compacted,basset,caddy,graves,glasnost,eponym,turnbull,hicks,mamluk,truer,subscription,tropospheric,goggles,neuroimaging,rachmaninoff,leather,alhazen,destructor,sennett,dopant,barred,helms,thru,historical,maxwell,presbyter,basses,manga,iranian,negroes,unimpressed,slimmer,oas,spectacular,afonso,desmodromic,haikai,bully,fpgas,truth,dempsey,agent,glycosides,dandyism,mismanagement,slowly,geared,millsaps,audiovisual,mahdi,diatomaceous,yea,leprosy,barberini,odin,wrote,edif,lengths,carmack,isla,wizards,addons,metaphorically,myrrh,hypomanic,hague,usurpation,auguste,commentaries,ayyash,verdeans,tackling,jock,wu,rebate,turnip,hires,klamath,hurting,muscovy,recorded
8,20,they,contentious,morgan,triumphant,selwyn,century,decibel,affinities,idris,fibre,apart,outcrops,aussie,frisians,physiologic,obtains,ark,spurred,commutation,exchanging,plateaus,ferroelectric,airships,outreach,saline,petrochemicals,guinevere,ackroyd,universidade,innovators,escorial,mazzola,berthold,amateurs,grades,dtd,central,dukkha,krylov,ideation,inaugurated,jg,hillman,hiking,mistress,editing,harpo,musketeers,grothendieck,cesium,matrix,mbta,outward,identical,bridgeport,rsc,exploitation,peninsular,inexpensively,sailed,cuzco,injecting,raider,glitter,armchair,cahokia,fountain,contexts,bellini,conciliatory,corps,lucius,chinatown,nansen,monday,stratosphere,beadwork,centers,problem,population,kushans,segmented,cfo,tunings,griffiths,louisbourg,coexisted,miso,alen,halfwidth,diligent,madeline,prairie,arbuckle,broadway,delineate,anointed,wonderswan,our,protests,encamped
9,20,more,assumption,balder,kinross,glorantha,convinces,nathaniel,gadamer,zaragoza,sincerity,differentiable,folsom,tides,unchanging,cached,correlate,honouring,notes,plaintiffs,engulfed,fairey,handoff,migrating,croydon,karami,kofi,oversized,abm,pleasures,incorruptible,irda,wilburys,tensile,interchangeable,breakthrough,location,frisch,avalanches,leste,viterbo,liaisons,cakes,lactam,governmental,notary,terraced,casually,z,bs,moist,separation,declined,roshan,toluene,kzinti,rothbard,gad,exterior,muppets,danelaw,nootka,judaism,bachelor,knopf,gra,otherwise,hollingworth,webelements,lashes,hashemite,simpler,untold,mnt,wagers,maquis,festive,galapagos,anthropos,crested,compl,newington,condominium,educators,glorified,superficial,experts,patriarchates,eolian,mauser,interdisciplinarity,impressed,rehabilitation,depot,destiny,anticipated,chlorides,interacted,embracing,choreographer,stylization,bouncing
